"Period","Country group","Subgroup","Commercial partner","Commodities (text)","Suppl. unit","Traffic direction","Suppl. qty","Kilogram (kg)","CHF"
"2026 01",,,"GE - Georgia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,50,4606319
"2026 01",,,"GH - Ghana","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,3086,317093144
"2026 01",,,"GL - Greenland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,38,3551603
"2026 01",,,"GR - Greece","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1,936
"2026 01",,,"GR - Greece","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,12,1336451
"2026 01",,,"HK - Hong Kong","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2090,251890530
"2026 01",,,"HK - Hong Kong","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,2633,319015553
"2026 01",,,"HU - Hungary","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1,10487
"2026 01",,,"IE - Ireland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,3,362948
"2026 01",,,"IL - Israel","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,7,15206
"2026 01",,,"IN - India","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,0,271
"2026 01",,,"IN - India","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,23485,2814250137
"2026 01",,,"IT - Italy","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,8406,958882866
"2026 01",,,"IT - Italy","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1136,125317473
"2026 01",,,"JO - Jordan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,717,71022719
"2026 01",,,"JP - Japan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2148,246758497
