"Period","Country group","Subgroup","Commercial partner","Commodities (text)","Suppl. unit","Traffic direction","Suppl. qty","Kilogram (kg)","CHF"
"2025 11",,,"MR - Mauritania","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,701,68109339
"2025 11",,,"MX - Mexico","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2043,88951175
"2025 11",,,"MY - Malaysia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,266,25052361
"2025 11",,,"MY - Malaysia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,825,87215087
"2025 11",,,"NG - Nigeria","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,479,33420296
"2025 11",,,"NI - Nicaragua","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1289,21336577
"2025 11",,,"NL - Netherlands","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1,584
"2025 11",,,"NL - Netherlands","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1,128849
"2025 11",,,"NO - Norway","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,241,25607565
"2025 11",,,"NZ - New Zealand","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,0,2206
"2025 11",,,"PA - Panama","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,45,2872430
"2025 11",,,"PE - Peru","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,8856,200190445
"2025 11",,,"PH - Philippines","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,752,43134910
"2025 11",,,"PL - Poland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1,5484
"2025 11",,,"PL - Poland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,244,25797059
"2025 11",,,"RO - Romania","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,13,1457536
"2025 11",,,"RS - Serbia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,11,1133902
"2025 11",,,"SA - Saudi Arabia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,740,72689796
"2025 11",,,"SA - Saudi Arabia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,2260,239634532
"2025 11",,,"SE - Sweden","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,294,29608174
"2025 11",,,"SE - Sweden","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,35,3717040
"2025 11",,,"SG - Singapore","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,454,45616924
"2025 11",,,"SG - Singapore","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,6437,664218454
"2025 11",,,"SN - Senegal","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1252,124292596
"2025 11",,,"SR - Suriname","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1240,119978801
"2025 11",,,"TH - Thailand","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,44,4767723
"2025 11",,,"TH - Thailand","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,2061,219304931
"2025 11",,,"TJ - Tajikistan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,3009,315901936
"2025 11",,,"TR - Türkiye","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,127,13164617
"2025 11",,,"TR - Türkiye","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,7737,818189716
"2025 11",,,"TW - Taiwan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,108,11692629
"2025 11",,,"TW - Taiwan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,481,51182595
"2025 11",,,"TZ - Tanzania","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,649,46589561
"2025 11",,,"US - USA","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,62280,6548139332
"2025 11",,,"US - USA","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,4697,492240313
"2025 11",,,"UY - Uruguay","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,6,636620
"2025 11",,,"UZ - Uzbekistan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,418,44447419
"2025 11",,,"ZA - South Africa","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,6964,743141172
"2025 10",,,"AE - Emirates, Arab","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,10050,1048318313
"2025 10",,,"AE - Emirates, Arab","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,10404,1075158930
"2025 10",,,"AR - Argentina","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,9031,71190674
"2025 10",,,"AR - Argentina","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,4,450211
"2025 10",,,"AT - Austria","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,114,11340171
"2025 10",,,"AT - Austria","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,472,50504614
"2025 10",,,"AU - Australia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,3538,363908178
"2025 10",,,"AU - Australia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,59,6237712
"2025 10",,,"AZ - Azerbaijan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,613,31613761
"2025 10",,,"BE - Belgium","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,102,9588282
"2025 10",,,"BE - Belgium","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,105,10214588
"2025 10",,,"BF - Burkina Faso","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,4744,409897898
"2025 10",,,"BR - Brazil","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2279,177563761
"2025 10",,,"CA - Canada","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,10236,907630998
"2025 10",,,"CA - Canada","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,727,75519124
"2025 10",,,"CI - Côte d'Ivoire","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,4499,320338793
"2025 10",,,"CL - Chile","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,16372,120648443
"2025 10",,,"CN - China","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1222,130277641
"2025 10",,,"CN - China","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,2100,217241875
"2025 10",,,"CO - Colombia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,379,33690999
"2025 10",,,"CZ - Czechia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1,141285
"2025 10",,,"DE - Germany","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,9775,842591692
"2025 10",,,"DE - Germany","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,6889,725905768
"2025 10",,,"DK - Denmark","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,0,3800
"2025 10",,,"EC - Ecuador","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1138,81928801
"2025 10",,,"EE - Estonia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,343,34800086
"2025 10",,,"EG - Egypt","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1658,143963278
"2025 10",,,"EG - Egypt","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,35,3569476
"2025 10",,,"ES - Spain","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,189,11826670
"2025 10",,,"ES - Spain","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,126,13301684
"2025 10",,,"FI - Finland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1687,169457793
"2025 10",,,"FR - France","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,464,36226353
"2025 10",,,"FR - France","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,37003,3787656186
"2025 10",,,"GB - United Kingdom","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,13676,1414913211
"2025 10",,,"GB - United Kingdom","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,8865,914182335
"2025 10",,,"GE - Georgia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,56,3924301
"2025 10",,,"GE - Georgia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,0,5441
"2025 10",,,"GH - Ghana","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,3485,308479843
"2025 10",,,"GL - Greenland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,68,6500493
"2025 10",,,"HK - Hong Kong","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,339,36012240
"2025 10",,,"HK - Hong Kong","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,926,100957731
"2025 10",,,"HU - Hungary","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,40,4024592
"2025 10",,,"ID - Indonesia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,729,74394821
"2025 10",,,"IE - Ireland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,158,1191394
"2025 10",,,"IN - India","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,72,4373638
"2025 10",,,"IN - India","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,25895,2643548625
"2025 10",,,"IT - Italy","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,8971,865116148
"2025 10",,,"IT - Italy","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,3182,301986430
"2025 10",,,"JO - Jordan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,839,89725852
"2025 10",,,"JP - Japan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2621,261417457
"2025 10",,,"JP - Japan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,517,52767417
"2025 10",,,"KR - Korea (South)","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,50,4908579
"2025 10",,,"KR - Korea (South)","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,350,37484285
"2025 10",,,"LA - Laos","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1374,22433955
"2025 10",,,"LB - Lebanon","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,3364,350244401
"2025 10",,,"LR - Liberia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1142,108688455
"2025 10",,,"LT - Lithuania","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,35,3867545
"2025 10",,,"LU - Luxembourg","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,18,1756532
"2025 10",,,"LU - Luxembourg","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,3,351846
"2025 10",,,"LV - Latvia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,9,554120
"2025 10",,,"MK - North Macedonia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,11,1131453
"2025 10",,,"MN - Mongolia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1809,159934029
"2025 10",,,"MR - Mauritania","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,485,47171261
"2025 10",,,"MX - Mexico","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2341,126557317
"2025 10",,,"MY - Malaysia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,397,37625920
"2025 10",,,"MY - Malaysia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1145,121002104
"2025 10",,,"NG - Nigeria","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,352,26320321
"2025 10",,,"NI - Nicaragua","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2965,44611725
"2025 10",,,"NL - Netherlands","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,0,44
"2025 10",,,"NL - Netherlands","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,26,2888331
"2025 10",,,"NO - Norway","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,201,20901543
"2025 10",,,"PA - Panama","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,33,2084382
"2025 10",,,"PE - Peru","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,9702,238044933
"2025 10",,,"PH - Philippines","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,706,41155764
"2025 10",,,"PL - Poland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,257,27740853
"2025 10",,,"PL - Poland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,264,27322596
"2025 10",,,"RO - Romania","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,19,2004373
"2025 10",,,"RS - Serbia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,9,564178
"2025 10",,,"SA - Saudi Arabia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,549,43136064
"2025 10",,,"SA - Saudi Arabia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,6326,674306077
"2025 10",,,"SE - Sweden","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,297,26010814
"2025 10",,,"SE - Sweden","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,52,5305515
"2025 10",,,"SG - Singapore","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1585,159494320
"2025 10",,,"SG - Singapore","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,2613,273740947
"2025 10",,,"SN - Senegal","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1187,112044814
"2025 10",,,"SR - Suriname","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1086,99283510
"2025 10",,,"TH - Thailand","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,766,77478934
"2025 10",,,"TH - Thailand","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,13854,1466324481
"2025 10",,,"TN - Tunisia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,113,11321614
"2025 10",,,"TR - Türkiye","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,126,13237769
"2025 10",,,"TR - Türkiye","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,11060,1155161155
"2025 10",,,"TW - Taiwan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,20,2134564
"2025 10",,,"TW - Taiwan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1952,205226694
"2025 10",,,"TZ - Tanzania","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,519,51889785
"2025 10",,,"US - USA","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,76920,8037450125
"2025 10",,,"US - USA","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,6634,693794991
"2025 10",,,"UZ - Uzbekistan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1600,169038255
"2025 10",,,"ZA - South Africa","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2741,282112237
"2025 09",,,"AE - Emirates, Arab","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,38726,3607465686
"2025 09",,,"AE - Emirates, Arab","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,5647,532969299
"2025 09",,,"AR - Argentina","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,12361,83723499
"2025 09",,,"AT - Austria","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,269,24787070
"2025 09",,,"AT - Austria","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1228,117443867
"2025 09",,,"AU - Australia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2113,109611778
"2025 09",,,"AU - Australia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,137,13089768
"2025 09",,,"AZ - Azerbaijan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,914,39840074
"2025 09",,,"BE - Belgium","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,381,31057681
"2025 09",,,"BE - Belgium","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,59,5272048
"2025 09",,,"BF - Burkina Faso","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,3243,261657207
"2025 09",,,"BR - Brazil","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1813,113514427
"2025 09",,,"CA - Canada","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,6526,496310750
"2025 09",,,"CA - Canada","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,389,36694328
"2025 09",,,"CI - Côte d'Ivoire","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,4885,314616787
"2025 09",,,"CL - Chile","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,21874,144663145
"2025 09",,,"CN - China","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,749,68872147
"2025 09",,,"CN - China","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,31011,2776713089
"2025 09",,,"CO - Colombia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,489,33685729
"2025 09",,,"CZ - Czechia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,24,1097456
"2025 09",,,"CZ - Czechia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,93,8745081
"2025 09",,,"DE - Germany","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,6070,437840370
"2025 09",,,"DE - Germany","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,4584,424209230
"2025 09",,,"DK - Denmark","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,3,209083
"2025 09",,,"EC - Ecuador","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,749,43328497
"2025 09",,,"EE - Estonia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,15,1180368
"2025 09",,,"EE - Estonia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,179,17136181
"2025 09",,,"EG - Egypt","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1909,151304219
"2025 09",,,"EG - Egypt","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,39,3792723
"2025 09",,,"ES - Spain","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,127,7672962
"2025 09",,,"ES - Spain","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,100,8916080
"2025 09",,,"FI - Finland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2080,172757929
"2025 09",,,"FI - Finland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,1,96000
"2025 09",,,"FR - France","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1705,109817345
"2025 09",,,"FR - France","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,27091,2422538374
"2025 09",,,"GB - United Kingdom","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1051,57078686
"2025 09",,,"GB - United Kingdom","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,27555,2532245937
"2025 09",,,"GE - Georgia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,106,6285044
"2025 09",,,"GH - Ghana","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,4047,321157960
"2025 09",,,"GL - Greenland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,60,5518687
"2025 09",,,"GR - Greece","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2,2713
"2025 09",,,"GR - Greece","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,20,1845342
"2025 09",,,"HK - Hong Kong","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1279,120272402
"2025 09",,,"HK - Hong Kong","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,2083,189665443
"2025 09",,,"HU - Hungary","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,9,706705
"2025 09",,,"ID - Indonesia","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,2821,257418801
"2025 09",,,"IE - Ireland","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1,2815
"2025 09",,,"IN - India","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,29951,2794754599
"2025 09",,,"IT - Italy","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,8046,713766289
"2025 09",,,"IT - Italy","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,2491,195203612
"2025 09",,,"JO - Jordan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,138,11003026
"2025 09",,,"JO - Jordan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,566,52590278
"2025 09",,,"JP - Japan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,1905,173147566
"2025 09",,,"JP - Japan","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Export",,54,586204
"2025 09",,,"KR - Korea (South)","7108 - Gold, incl. gold plated with platinum, unwrought or not further worked than semi-manufactured or in powder form",,"Import",,30,2701978
