日期,库存(t),投资于实物黄金的规模（亿元）
2022-11,50.11,203.32
2023-12,61.13,293.13
2024-12,114.84,706.23
2025-08,188.04
2025-09,191.77
2025-10,227.63
2025-11,244.43
2025-12,249.12,2428.27
