日期,库存(公吨),资产管理规模(十亿美元),基金流量(百万美元)
2025-11-28,3931.8
2025-12-05,3943.5
2025-12-12,3965.0
2025-12-19,3968.0
2025-12-26,4009.0
2026-01-09,4030.2
2026-01-16,4064.7,603.5
2026-01-23,4099.3,653.5
2026-01-30,4144.6,668.7
2026-02-06,4114.3,655.0,-3837.5
2026-02-13,4129.0,664.2,2343.3
2026-02-20,4133.7,672.1,822.2
2026-02-27,4170.7,700.8,5870.6
2026-03-06,4150.4,685.4,-2735.9
2026-03-13,4145.2,674.3,-518.8
2026-03-20,4117.9,607.4,4606.2
2026-03-27,4083.9,591.8,-4313.0

