日期,库存(t),库存(盎司000s),清算数据(万盎司)
2025-07,8864.96,,1510
2025-08,8831.33,,1630
2025-09,8840.88,,1880
2025-10,8858.48,,1840
2025-11,8907.00,,1540
2025-12,9106.38,,1650
2026-01,9158.12,294440.272263,
