日期,进口(千克),出口(千克),净进口(千克)
2025-01,44597.7,18307.7,3864851812
2025-02,27721.1,70628.7,3864851812
2025-03,7991.7,79083.8,3864851812
2025-04,9828.6,143195.6,3864851812
2025-05,11168.1,59438.1,3864851812
2025-06,9159.3,30532.5,3864851812
2025-07,96950.4,66681.2,3864851812
2025-08,11578.8,37609.1,3864851812
2025-09,27143.7,86301.3,-59157.6
2025-10,15565.3,130747.4,-115182.1
