EU / NON EU,Continent,Country,Net Mass (Kg),Flow Type,Year,Month,Include in HS2 aggregation
EU,European Union,Austria,0,EU - Exports,2025,July,INCLUDE
EU,European Union,Austria,2186,EU - Imports,2025,July,INCLUDE
EU,European Union,Belgium,0,EU - Exports,2025,July,INCLUDE
EU,European Union,Belgium,5,EU - Imports,2025,July,INCLUDE
EU,European Union,Cyprus,13,EU - Exports,2025,July,INCLUDE
EU,European Union,Czechia,0,EU - Imports,2025,July,INCLUDE
EU,European Union,Denmark,11,EU - Exports,2025,July,INCLUDE
EU,European Union,Estonia,34,EU - Imports,2025,July,INCLUDE
EU,European Union,France,33,EU - Exports,2025,July,INCLUDE
EU,European Union,France,16,EU - Imports,2025,July,INCLUDE
EU,European Union,Germany,1552,EU - Exports,2025,July,INCLUDE
EU,European Union,Germany,2721,EU - Imports,2025,July,INCLUDE
EU,European Union,Ireland,14,EU - Exports,2025,July,INCLUDE
EU,European Union,Ireland,4,EU - Imports,2025,July,INCLUDE
EU,European Union,Italy,77,EU - Exports,2025,July,INCLUDE
EU,European Union,Italy,12,EU - Imports,2025,July,INCLUDE
EU,European Union,Luxembourg,0,EU - Exports,2025,July,INCLUDE
EU,European Union,Malta,2,EU - Exports,2025,July,INCLUDE
EU,European Union,Netherlands,0,EU - Exports,2025,July,INCLUDE
EU,European Union,Netherlands,6,EU - Imports,2025,July,INCLUDE
EU,European Union,Poland,12,EU - Imports,2025,July,INCLUDE
EU,European Union,Spain,2417,EU - Imports,2025,July,INCLUDE
EU,European Union,Sweden,1,EU - Exports,2025,July,INCLUDE
EU,European Union,Sweden,570,EU - Imports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Australia,1,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Australia,23125,Non EU - Imports,2025,July,INCLUDE
NON-EU,Asia and Oceania,China,14906,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,China,6,Non EU - Imports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,4879,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,1650,Non EU - Imports,2025,July,INCLUDE
NON-EU,Asia and Oceania,India,43,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,India,2,Non EU - Imports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Indonesia,0,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Japan,0,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Japan,1749,Non EU - Imports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Malaysia,1,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Malaysia,2,Non EU - Imports,2025,July,INCLUDE
NON-EU,Asia and Oceania,New Zealand,1,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Singapore,25,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Singapore,17,Non EU - Imports,2025,July,INCLUDE
NON-EU,Asia and Oceania,South Korea,0,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Taiwan,1,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Thailand,3,Non EU - Exports,2025,July,INCLUDE
NON-EU,Asia and Oceania,Vietnam,0,Non EU - Exports,2025,July,INCLUDE
NON-EU,Eastern Europe exc EU,Azerbaijan,5534,Non EU - Exports,2025,July,INCLUDE
NON-EU,Eastern Europe exc EU,Kyrgyz Republic,0,Non EU - Exports,2025,July,INCLUDE
NON-EU,Eastern Europe exc EU,Kyrgyz Republic,435,Non EU - Imports,2025,July,INCLUDE
NON-EU,Eastern Europe exc EU,Uzbekistan,19990,Non EU - Imports,2025,July,INCLUDE
NON-EU,Latin America and Caribbean,Brazil,1483,Non EU - Imports,2025,July,INCLUDE
NON-EU,Middle East and N Africa,Israel,0,Non EU - Imports,2025,July,INCLUDE
NON-EU,Middle East and N Africa,Qatar,19580,Non EU - Exports,2025,July,INCLUDE
NON-EU,Middle East and N Africa,UAE,663,Non EU - Exports,2025,July,INCLUDE
NON-EU,Middle East and N Africa,UAE,33,Non EU - Imports,2025,July,INCLUDE
NON-EU,North America,Canada,136,Non EU - Exports,2025,July,INCLUDE
NON-EU,North America,Canada,17959,Non EU - Imports,2025,July,INCLUDE
NON-EU,North America,Mexico,1759,Non EU - Imports,2025,July,INCLUDE
NON-EU,North America,United States,9966,Non EU - Exports,2025,July,INCLUDE
NON-EU,North America,United States,14157,Non EU - Imports,2025,July,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,1,Non EU - Exports,2025,July,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,12241,Non EU - Imports,2025,July,INCLUDE
NON-EU,Western Europe exc EU,Iceland,0,Non EU - Exports,2025,July,INCLUDE
NON-EU,Western Europe exc EU,Norway,0,Non EU - Exports,2025,July,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,4429,Non EU - Exports,2025,July,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,33635,Non EU - Imports,2025,July,INCLUDE
NON-EU,Western Europe exc EU,Turkey,38,Non EU - Exports,2025,July,INCLUDE
NON-EU,Western Europe exc EU,Turkey,1000,Non EU - Imports,2025,July,INCLUDE
