EU / NON EU,Continent,Country,Net Mass (Kg),Flow Type,Year,Month,Include in HS2 aggregation
EU,European Union,Austria,625,EU - Imports,2025,October,INCLUDE
EU,European Union,Belgium,0,EU - Exports,2025,October,INCLUDE
EU,European Union,Cyprus,2,EU - Exports,2025,October,INCLUDE
EU,European Union,Denmark,4,EU - Exports,2025,October,INCLUDE
EU,European Union,Estonia,26,EU - Imports,2025,October,INCLUDE
EU,European Union,France,88,EU - Exports,2025,October,INCLUDE
EU,European Union,France,21,EU - Imports,2025,October,INCLUDE
EU,European Union,Germany,467,EU - Exports,2025,October,INCLUDE
EU,European Union,Germany,3716,EU - Imports,2025,October,INCLUDE
EU,European Union,Ireland,31,EU - Exports,2025,October,INCLUDE
EU,European Union,Ireland,6,EU - Imports,2025,October,INCLUDE
EU,European Union,Italy,40,EU - Exports,2025,October,INCLUDE
EU,European Union,Italy,6,EU - Imports,2025,October,INCLUDE
EU,European Union,Malta,0,EU - Exports,2025,October,INCLUDE
EU,European Union,Netherlands,0,EU - Exports,2025,October,INCLUDE
EU,European Union,Netherlands,12,EU - Imports,2025,October,INCLUDE
EU,European Union,Poland,4,EU - Imports,2025,October,INCLUDE
EU,European Union,Portugal,1,EU - Exports,2025,October,INCLUDE
EU,European Union,Spain,1,EU - Exports,2025,October,INCLUDE
EU,European Union,Spain,1376,EU - Imports,2025,October,INCLUDE
EU,European Union,Sweden,0,EU - Exports,2025,October,INCLUDE
EU,European Union,Sweden,98,EU - Imports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Australia,1995,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Australia,6354,Non EU - Imports,2025,October,INCLUDE
NON-EU,Asia and Oceania,China,14901,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,China,13,Non EU - Imports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,6,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,1,Non EU - Imports,2025,October,INCLUDE
NON-EU,Asia and Oceania,India,1305,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Indonesia,0,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Japan,13,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Japan,428,Non EU - Imports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Malaysia,0,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,New Zealand,1,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Singapore,43,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Singapore,18,Non EU - Imports,2025,October,INCLUDE
NON-EU,Asia and Oceania,South Korea,0,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Taiwan,0,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Thailand,4,Non EU - Exports,2025,October,INCLUDE
NON-EU,Asia and Oceania,Vietnam,0,Non EU - Exports,2025,October,INCLUDE
NON-EU,Eastern Europe exc EU,Azerbaijan,7963,Non EU - Exports,2025,October,INCLUDE
NON-EU,Eastern Europe exc EU,Kazakhstan,0,Non EU - Exports,2025,October,INCLUDE
NON-EU,Latin America and Caribbean,Brazil,831,Non EU - Imports,2025,October,INCLUDE
NON-EU,Latin America and Caribbean,Peru,4,Non EU - Imports,2025,October,INCLUDE
NON-EU,Middle East and N Africa,Qatar,19638,Non EU - Exports,2025,October,INCLUDE
NON-EU,Middle East and N Africa,UAE,1242,Non EU - Exports,2025,October,INCLUDE
NON-EU,Middle East and N Africa,UAE,86,Non EU - Imports,2025,October,INCLUDE
NON-EU,North America,Canada,8,Non EU - Exports,2025,October,INCLUDE
NON-EU,North America,Canada,29424,Non EU - Imports,2025,October,INCLUDE
NON-EU,North America,Mexico,1661,Non EU - Imports,2025,October,INCLUDE
NON-EU,North America,United States,47,Non EU - Exports,2025,October,INCLUDE
NON-EU,North America,United States,25105,Non EU - Imports,2025,October,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,7570,Non EU - Imports,2025,October,INCLUDE
NON-EU,Western Europe exc EU,Iceland,0,Non EU - Exports,2025,October,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,15542,Non EU - Exports,2025,October,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,10695,Non EU - Imports,2025,October,INCLUDE
NON-EU,Western Europe exc EU,Turkey,39,Non EU - Exports,2025,October,INCLUDE
