EU / NON EU,Continent,Country,Net Mass (Kg),Flow Type,Year,Month,Include in HS2 aggregation
EU,European Union,Austria,1159,EU - Imports,2025,April,INCLUDE
EU,European Union,Belgium,1,EU - Exports,2025,April,INCLUDE
EU,European Union,Bulgaria,2,EU - Imports,2025,April,INCLUDE
EU,European Union,Cyprus,3,EU - Exports,2025,April,INCLUDE
EU,European Union,Denmark,10,EU - Exports,2025,April,INCLUDE
EU,European Union,Denmark,0,EU - Imports,2025,April,INCLUDE
EU,European Union,Estonia,41,EU - Imports,2025,April,INCLUDE
EU,European Union,France,60,EU - Exports,2025,April,INCLUDE
EU,European Union,France,10,EU - Imports,2025,April,INCLUDE
EU,European Union,Germany,1044,EU - Exports,2025,April,INCLUDE
EU,European Union,Germany,1742,EU - Imports,2025,April,INCLUDE
EU,European Union,Ireland,20,EU - Exports,2025,April,INCLUDE
EU,European Union,Ireland,4,EU - Imports,2025,April,INCLUDE
EU,European Union,Italy,11,EU - Exports,2025,April,INCLUDE
EU,European Union,Italy,4,EU - Imports,2025,April,INCLUDE
EU,European Union,Luxembourg,0,EU - Exports,2025,April,INCLUDE
EU,European Union,Netherlands,0,EU - Exports,2025,April,INCLUDE
EU,European Union,Netherlands,500,EU - Imports,2025,April,INCLUDE
EU,European Union,Poland,5,EU - Imports,2025,April,INCLUDE
EU,European Union,Spain,15,EU - Exports,2025,April,INCLUDE
EU,European Union,Spain,2658,EU - Imports,2025,April,INCLUDE
EU,European Union,Sweden,0,EU - Exports,2025,April,INCLUDE
EU,European Union,Sweden,316,EU - Imports,2025,April,INCLUDE
NON-EU,Asia and Oceania,Australia,1975,Non EU - Exports,2025,April,INCLUDE
NON-EU,Asia and Oceania,Australia,3943,Non EU - Imports,2025,April,INCLUDE
NON-EU,Asia and Oceania,China,27077,Non EU - Exports,2025,April,INCLUDE
NON-EU,Asia and Oceania,China,1,Non EU - Imports,2025,April,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,6,Non EU - Exports,2025,April,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,1097,Non EU - Imports,2025,April,INCLUDE
NON-EU,Asia and Oceania,Japan,3,Non EU - Exports,2025,April,INCLUDE
NON-EU,Asia and Oceania,Japan,1434,Non EU - Imports,2025,April,INCLUDE
NON-EU,Asia and Oceania,Malaysia,3,Non EU - Imports,2025,April,INCLUDE
NON-EU,Asia and Oceania,Singapore,5,Non EU - Exports,2025,April,INCLUDE
NON-EU,Asia and Oceania,Singapore,25,Non EU - Imports,2025,April,INCLUDE
NON-EU,Asia and Oceania,South Korea,0,Non EU - Exports,2025,April,INCLUDE
NON-EU,Asia and Oceania,Thailand,506,Non EU - Exports,2025,April,INCLUDE
NON-EU,Asia and Oceania,Vietnam,0,Non EU - Exports,2025,April,INCLUDE
NON-EU,Eastern Europe exc EU,Azerbaijan,7947,Non EU - Exports,2025,April,INCLUDE
NON-EU,Eastern Europe exc EU,Uzbekistan,19993,Non EU - Imports,2025,April,INCLUDE
NON-EU,Latin America and Caribbean,Brazil,561,Non EU - Imports,2025,April,INCLUDE
NON-EU,Latin America and Caribbean,Peru,4,Non EU - Imports,2025,April,INCLUDE
NON-EU,Middle East and N Africa,UAE,1379,Non EU - Exports,2025,April,INCLUDE
NON-EU,Middle East and N Africa,UAE,49,Non EU - Imports,2025,April,INCLUDE
NON-EU,North America,Canada,0,Non EU - Exports,2025,April,INCLUDE
NON-EU,North America,Canada,21354,Non EU - Imports,2025,April,INCLUDE
NON-EU,North America,Mexico,1506,Non EU - Imports,2025,April,INCLUDE
NON-EU,North America,United States,4978,Non EU - Exports,2025,April,INCLUDE
NON-EU,North America,United States,44042,Non EU - Imports,2025,April,INCLUDE
NON-EU,Sub-Saharan Africa,Nigeria,1,Non EU - Imports,2025,April,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,1,Non EU - Exports,2025,April,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,5495,Non EU - Imports,2025,April,INCLUDE
NON-EU,Western Europe exc EU,Iceland,0,Non EU - Exports,2025,April,INCLUDE
NON-EU,Western Europe exc EU,Norway,1,Non EU - Exports,2025,April,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,30805,Non EU - Exports,2025,April,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,14349,Non EU - Imports,2025,April,INCLUDE
NON-EU,Western Europe exc EU,Turkey,1767,Non EU - Exports,2025,April,INCLUDE
NON-EU,Western Europe exc EU,Turkey,0,Non EU - Imports,2025,April,INCLUDE
