EU / NON EU,Continent,Country,Net Mass (Kg),Flow Type,Year,Month,Include in HS2 aggregation
EU,European Union,Austria,1,EU - Exports,2025,January,INCLUDE
EU,European Union,Austria,635,EU - Imports,2025,January,INCLUDE
EU,European Union,Cyprus,7,EU - Exports,2025,January,INCLUDE
EU,European Union,Denmark,16,EU - Exports,2025,January,INCLUDE
EU,European Union,Estonia,5,EU - Imports,2025,January,INCLUDE
EU,European Union,France,38,EU - Exports,2025,January,INCLUDE
EU,European Union,France,5157,EU - Imports,2025,January,INCLUDE
EU,European Union,Germany,4972,EU - Exports,2025,January,INCLUDE
EU,European Union,Germany,910,EU - Imports,2025,January,INCLUDE
EU,European Union,Ireland,9,EU - Exports,2025,January,INCLUDE
EU,European Union,Ireland,1,EU - Imports,2025,January,INCLUDE
EU,European Union,Italy,71,EU - Imports,2025,January,INCLUDE
EU,European Union,Luxembourg,0,EU - Exports,2025,January,INCLUDE
EU,European Union,Malta,0,EU - Exports,2025,January,INCLUDE
EU,European Union,Netherlands,0,EU - Exports,2025,January,INCLUDE
EU,European Union,Poland,0,EU - Imports,2025,January,INCLUDE
EU,European Union,Portugal,1,EU - Exports,2025,January,INCLUDE
EU,European Union,Spain,84,EU - Exports,2025,January,INCLUDE
EU,European Union,Spain,2394,EU - Imports,2025,January,INCLUDE
EU,European Union,Sweden,1,EU - Exports,2025,January,INCLUDE
EU,European Union,Sweden,441,EU - Imports,2025,January,INCLUDE
NON-EU,Asia and Oceania,Australia,960,Non EU - Exports,2025,January,INCLUDE
NON-EU,Asia and Oceania,Australia,398,Non EU - Imports,2025,January,INCLUDE
NON-EU,Asia and Oceania,China,0,Non EU - Exports,2025,January,INCLUDE
NON-EU,Asia and Oceania,China,6,Non EU - Imports,2025,January,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,5010,Non EU - Exports,2025,January,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,400,Non EU - Imports,2025,January,INCLUDE
NON-EU,Asia and Oceania,India,138,Non EU - Exports,2025,January,INCLUDE
NON-EU,Asia and Oceania,Japan,51,Non EU - Exports,2025,January,INCLUDE
NON-EU,Asia and Oceania,Japan,1366,Non EU - Imports,2025,January,INCLUDE
NON-EU,Asia and Oceania,Malaysia,1,Non EU - Imports,2025,January,INCLUDE
NON-EU,Asia and Oceania,New Zealand,0,Non EU - Exports,2025,January,INCLUDE
NON-EU,Asia and Oceania,Singapore,2509,Non EU - Exports,2025,January,INCLUDE
NON-EU,Asia and Oceania,Singapore,1506,Non EU - Imports,2025,January,INCLUDE
NON-EU,Asia and Oceania,Thailand,11,Non EU - Exports,2025,January,INCLUDE
NON-EU,Asia and Oceania,Vietnam,0,Non EU - Exports,2025,January,INCLUDE
NON-EU,Eastern Europe exc EU,Azerbaijan,7950,Non EU - Exports,2025,January,INCLUDE
NON-EU,Eastern Europe exc EU,Kyrgyz Republic,372,Non EU - Imports,2025,January,INCLUDE
NON-EU,Latin America and Caribbean,Brazil,450,Non EU - Imports,2025,January,INCLUDE
NON-EU,Latin America and Caribbean,Colombia,4,Non EU - Exports,2025,January,INCLUDE
NON-EU,Middle East and N Africa,Israel,1,Non EU - Exports,2025,January,INCLUDE
NON-EU,Middle East and N Africa,UAE,466,Non EU - Exports,2025,January,INCLUDE
NON-EU,Middle East and N Africa,UAE,28,Non EU - Imports,2025,January,INCLUDE
NON-EU,North America,Canada,26,Non EU - Exports,2025,January,INCLUDE
NON-EU,North America,Canada,13624,Non EU - Imports,2025,January,INCLUDE
NON-EU,North America,Mexico,1942,Non EU - Imports,2025,January,INCLUDE
NON-EU,North America,United States,88341,Non EU - Exports,2025,January,INCLUDE
NON-EU,North America,United States,13487,Non EU - Imports,2025,January,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,1,Non EU - Exports,2025,January,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,7012,Non EU - Imports,2025,January,INCLUDE
NON-EU,Western Europe exc EU,Iceland,0,Non EU - Exports,2025,January,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,111126,Non EU - Exports,2025,January,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,11967,Non EU - Imports,2025,January,INCLUDE
NON-EU,Western Europe exc EU,Turkey,259,Non EU - Exports,2025,January,INCLUDE
NON-EU,Western Europe exc EU,Turkey,302,Non EU - Imports,2025,January,INCLUDE
