EU / NON EU,Continent,Country,Net Mass (Kg),Flow Type,Year,Month,Include in HS2 aggregation
EU,European Union,Austria,0,EU - Exports,2025,June,INCLUDE
EU,European Union,Austria,0,EU - Imports,2025,June,INCLUDE
EU,European Union,Belgium,15,EU - Imports,2025,June,INCLUDE
EU,European Union,Cyprus,6,EU - Exports,2025,June,INCLUDE
EU,European Union,Denmark,8,EU - Exports,2025,June,INCLUDE
EU,European Union,Estonia,13,EU - Imports,2025,June,INCLUDE
EU,European Union,France,31,EU - Exports,2025,June,INCLUDE
EU,European Union,France,8,EU - Imports,2025,June,INCLUDE
EU,European Union,Germany,132,EU - Exports,2025,June,INCLUDE
EU,European Union,Germany,4668,EU - Imports,2025,June,INCLUDE
EU,European Union,Ireland,23,EU - Exports,2025,June,INCLUDE
EU,European Union,Ireland,0,EU - Imports,2025,June,INCLUDE
EU,European Union,Italy,3,EU - Exports,2025,June,INCLUDE
EU,European Union,Italy,11,EU - Imports,2025,June,INCLUDE
EU,European Union,Malta,3,EU - Exports,2025,June,INCLUDE
EU,European Union,Netherlands,1,EU - Exports,2025,June,INCLUDE
EU,European Union,Poland,0,EU - Imports,2025,June,INCLUDE
EU,European Union,Spain,1804,EU - Imports,2025,June,INCLUDE
EU,European Union,Sweden,0,EU - Exports,2025,June,INCLUDE
EU,European Union,Sweden,309,EU - Imports,2025,June,INCLUDE
NON-EU,Asia and Oceania,Australia,1,Non EU - Exports,2025,June,INCLUDE
NON-EU,Asia and Oceania,Australia,16778,Non EU - Imports,2025,June,INCLUDE
NON-EU,Asia and Oceania,China,0,Non EU - Exports,2025,June,INCLUDE
NON-EU,Asia and Oceania,China,1,Non EU - Imports,2025,June,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,37,Non EU - Exports,2025,June,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,3000,Non EU - Imports,2025,June,INCLUDE
NON-EU,Asia and Oceania,Japan,3,Non EU - Exports,2025,June,INCLUDE
NON-EU,Asia and Oceania,Japan,1861,Non EU - Imports,2025,June,INCLUDE
NON-EU,Asia and Oceania,Singapore,25,Non EU - Exports,2025,June,INCLUDE
NON-EU,Asia and Oceania,Singapore,8591,Non EU - Imports,2025,June,INCLUDE
NON-EU,Asia and Oceania,South Korea,0,Non EU - Exports,2025,June,INCLUDE
NON-EU,Asia and Oceania,Taiwan,0,Non EU - Exports,2025,June,INCLUDE
NON-EU,Asia and Oceania,Thailand,4,Non EU - Exports,2025,June,INCLUDE
NON-EU,Asia and Oceania,Vietnam,0,Non EU - Exports,2025,June,INCLUDE
NON-EU,Eastern Europe exc EU,Azerbaijan,2009,Non EU - Exports,2025,June,INCLUDE
NON-EU,Eastern Europe exc EU,Kazakhstan,0,Non EU - Exports,2025,June,INCLUDE
NON-EU,Eastern Europe exc EU,Kyrgyz Republic,319,Non EU - Imports,2025,June,INCLUDE
NON-EU,Latin America and Caribbean,Brazil,588,Non EU - Imports,2025,June,INCLUDE
NON-EU,Middle East and N Africa,Israel,0,Non EU - Imports,2025,June,INCLUDE
NON-EU,Middle East and N Africa,Qatar,180,Non EU - Exports,2025,June,INCLUDE
NON-EU,Middle East and N Africa,UAE,580,Non EU - Exports,2025,June,INCLUDE
NON-EU,Middle East and N Africa,UAE,26,Non EU - Imports,2025,June,INCLUDE
NON-EU,North America,Canada,0,Non EU - Exports,2025,June,INCLUDE
NON-EU,North America,Canada,23523,Non EU - Imports,2025,June,INCLUDE
NON-EU,North America,Mexico,1751,Non EU - Imports,2025,June,INCLUDE
NON-EU,North America,United States,10,Non EU - Exports,2025,June,INCLUDE
NON-EU,North America,United States,23923,Non EU - Imports,2025,June,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,1,Non EU - Exports,2025,June,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,10411,Non EU - Imports,2025,June,INCLUDE
NON-EU,Sub-Saharan Africa,Zambia,0,Non EU - Exports,2025,June,INCLUDE
NON-EU,Western Europe exc EU,Iceland,0,Non EU - Exports,2025,June,INCLUDE
NON-EU,Western Europe exc EU,Norway,1,Non EU - Exports,2025,June,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,507,Non EU - Exports,2025,June,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,71839,Non EU - Imports,2025,June,INCLUDE
NON-EU,Western Europe exc EU,Turkey,37,Non EU - Exports,2025,June,INCLUDE
NON-EU,Western Europe exc EU,Turkey,403,Non EU - Imports,2025,June,INCLUDE
