EU / NON EU,Continent,Country,Net Mass (Kg),Flow Type,Year,Month,Include in HS2 aggregation
EU,European Union,Austria,3,EU - Exports,2025,May,INCLUDE
EU,European Union,Austria,936,EU - Imports,2025,May,INCLUDE
EU,European Union,Bulgaria,25,EU - Exports,2025,May,INCLUDE
EU,European Union,Bulgaria,0,EU - Imports,2025,May,INCLUDE
EU,European Union,Cyprus,7,EU - Exports,2025,May,INCLUDE
EU,European Union,Czechia,0,EU - Imports,2025,May,INCLUDE
EU,European Union,Denmark,9,EU - Exports,2025,May,INCLUDE
EU,European Union,Estonia,0,EU - Exports,2025,May,INCLUDE
EU,European Union,Estonia,24,EU - Imports,2025,May,INCLUDE
EU,European Union,France,3800,EU - Exports,2025,May,INCLUDE
EU,European Union,France,7,EU - Imports,2025,May,INCLUDE
EU,European Union,Germany,2048,EU - Exports,2025,May,INCLUDE
EU,European Union,Germany,6701,EU - Imports,2025,May,INCLUDE
EU,European Union,Ireland,17,EU - Exports,2025,May,INCLUDE
EU,European Union,Ireland,1,EU - Imports,2025,May,INCLUDE
EU,European Union,Italy,3,EU - Exports,2025,May,INCLUDE
EU,European Union,Italy,10,EU - Imports,2025,May,INCLUDE
EU,European Union,Lithuania,0,EU - Imports,2025,May,INCLUDE
EU,European Union,Luxembourg,0,EU - Exports,2025,May,INCLUDE
EU,European Union,Malta,3,EU - Exports,2025,May,INCLUDE
EU,European Union,Netherlands,3,EU - Exports,2025,May,INCLUDE
EU,European Union,Poland,12,EU - Imports,2025,May,INCLUDE
EU,European Union,Spain,0,EU - Exports,2025,May,INCLUDE
EU,European Union,Spain,940,EU - Imports,2025,May,INCLUDE
EU,European Union,Sweden,1,EU - Exports,2025,May,INCLUDE
EU,European Union,Sweden,239,EU - Imports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Australia,0,Non EU - Exports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Australia,8651,Non EU - Imports,2025,May,INCLUDE
NON-EU,Asia and Oceania,China,15041,Non EU - Exports,2025,May,INCLUDE
NON-EU,Asia and Oceania,China,5,Non EU - Imports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,4721,Non EU - Exports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,0,Non EU - Imports,2025,May,INCLUDE
NON-EU,Asia and Oceania,India,3,Non EU - Exports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Japan,4,Non EU - Exports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Japan,464,Non EU - Imports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Malaysia,5,Non EU - Imports,2025,May,INCLUDE
NON-EU,Asia and Oceania,New Zealand,0,Non EU - Exports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Pakistan,2,Non EU - Exports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Philippines,11758,Non EU - Imports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Singapore,22,Non EU - Exports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Singapore,14,Non EU - Imports,2025,May,INCLUDE
NON-EU,Asia and Oceania,South Korea,0,Non EU - Exports,2025,May,INCLUDE
NON-EU,Asia and Oceania,Thailand,480,Non EU - Exports,2025,May,INCLUDE
NON-EU,Eastern Europe exc EU,Azerbaijan,3943,Non EU - Exports,2025,May,INCLUDE
NON-EU,Eastern Europe exc EU,Serbia,0,Non EU - Exports,2025,May,INCLUDE
NON-EU,Latin America and Caribbean,Brazil,893,Non EU - Imports,2025,May,INCLUDE
NON-EU,Latin America and Caribbean,Colombia,1,Non EU - Exports,2025,May,INCLUDE
NON-EU,Latin America and Caribbean,Peru,7,Non EU - Imports,2025,May,INCLUDE
NON-EU,Middle East and N Africa,UAE,558,Non EU - Exports,2025,May,INCLUDE
NON-EU,Middle East and N Africa,UAE,16,Non EU - Imports,2025,May,INCLUDE
NON-EU,North America,Canada,1,Non EU - Exports,2025,May,INCLUDE
NON-EU,North America,Canada,31396,Non EU - Imports,2025,May,INCLUDE
NON-EU,North America,Mexico,2371,Non EU - Imports,2025,May,INCLUDE
NON-EU,North America,United States,2,Non EU - Exports,2025,May,INCLUDE
NON-EU,North America,United States,21595,Non EU - Imports,2025,May,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,6696,Non EU - Imports,2025,May,INCLUDE
NON-EU,Western Europe exc EU,Iceland,0,Non EU - Exports,2025,May,INCLUDE
NON-EU,Western Europe exc EU,Norway,0,Non EU - Exports,2025,May,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,300,Non EU - Exports,2025,May,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,16291,Non EU - Imports,2025,May,INCLUDE
NON-EU,Western Europe exc EU,Turkey,1435,Non EU - Imports,2025,May,INCLUDE
