EU / NON EU,Continent,Country,Net Mass (Kg),Flow Type,Year,Month,Include in HS2 aggregation
EU,European Union,Austria,0,EU - Exports,2025,December,INCLUDE
EU,European Union,Austria,624,EU - Imports,2025,December,INCLUDE
EU,European Union,Cyprus,3,EU - Exports,2025,December,INCLUDE
EU,European Union,Czechia,0,EU - Imports,2025,December,INCLUDE
EU,European Union,Denmark,3,EU - Exports,2025,December,INCLUDE
EU,European Union,Estonia,3,EU - Exports,2025,December,INCLUDE
EU,European Union,Estonia,17,EU - Imports,2025,December,INCLUDE
EU,European Union,France,44,EU - Exports,2025,December,INCLUDE
EU,European Union,France,1,EU - Imports,2025,December,INCLUDE
EU,European Union,Germany,22,EU - Exports,2025,December,INCLUDE
EU,European Union,Germany,3917,EU - Imports,2025,December,INCLUDE
EU,European Union,Ireland,16,EU - Exports,2025,December,INCLUDE
EU,European Union,Ireland,1,EU - Imports,2025,December,INCLUDE
EU,European Union,Italy,161,EU - Exports,2025,December,INCLUDE
EU,European Union,Italy,4,EU - Imports,2025,December,INCLUDE
EU,European Union,Luxembourg,0,EU - Exports,2025,December,INCLUDE
EU,European Union,Netherlands,0,EU - Exports,2025,December,INCLUDE
EU,European Union,Netherlands,6,EU - Imports,2025,December,INCLUDE
EU,European Union,Poland,0,EU - Exports,2025,December,INCLUDE
EU,European Union,Poland,0,EU - Imports,2025,December,INCLUDE
EU,European Union,Romania,1,EU - Exports,2025,December,INCLUDE
EU,European Union,Slovakia,0,EU - Imports,2025,December,INCLUDE
EU,European Union,Spain,1578,EU - Imports,2025,December,INCLUDE
EU,European Union,Sweden,0,EU - Exports,2025,December,INCLUDE
EU,European Union,Sweden,307,EU - Imports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Australia,0,Non EU - Exports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Australia,9686,Non EU - Imports,2025,December,INCLUDE
NON-EU,Asia and Oceania,China,0,Non EU - Exports,2025,December,INCLUDE
NON-EU,Asia and Oceania,China,0,Non EU - Imports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,1,Non EU - Exports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,16558,Non EU - Imports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Indonesia,1,Non EU - Exports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Japan,0,Non EU - Exports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Japan,2017,Non EU - Imports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Malaysia,0,Non EU - Exports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Malaysia,3,Non EU - Imports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Pakistan,8,Non EU - Exports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Singapore,2,Non EU - Exports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Singapore,8615,Non EU - Imports,2025,December,INCLUDE
NON-EU,Asia and Oceania,South Korea,1,Non EU - Exports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Taiwan,0,Non EU - Exports,2025,December,INCLUDE
NON-EU,Asia and Oceania,Thailand,4,Non EU - Exports,2025,December,INCLUDE
NON-EU,Eastern Europe exc EU,Azerbaijan,9021,Non EU - Exports,2025,December,INCLUDE
NON-EU,Latin America and Caribbean,Brazil,814,Non EU - Imports,2025,December,INCLUDE
NON-EU,Middle East and N Africa,Jordan,10,Non EU - Exports,2025,December,INCLUDE
NON-EU,Middle East and N Africa,Qatar,27,Non EU - Exports,2025,December,INCLUDE
NON-EU,Middle East and N Africa,UAE,420,Non EU - Exports,2025,December,INCLUDE
NON-EU,Middle East and N Africa,UAE,55,Non EU - Imports,2025,December,INCLUDE
NON-EU,North America,Canada,29,Non EU - Exports,2025,December,INCLUDE
NON-EU,North America,Canada,30516,Non EU - Imports,2025,December,INCLUDE
NON-EU,North America,Mexico,1653,Non EU - Imports,2025,December,INCLUDE
NON-EU,North America,United States,34,Non EU - Exports,2025,December,INCLUDE
NON-EU,North America,United States,16837,Non EU - Imports,2025,December,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,19169,Non EU - Imports,2025,December,INCLUDE
NON-EU,Western Europe exc EU,Iceland,0,Non EU - Exports,2025,December,INCLUDE
NON-EU,Western Europe exc EU,Liechtenstein,0,Non EU - Imports,2025,December,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,703,Non EU - Exports,2025,December,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,89203,Non EU - Imports,2025,December,INCLUDE
NON-EU,Western Europe exc EU,Turkey,46,Non EU - Exports,2025,December,INCLUDE
