EU / NON EU,Continent,Country,Net Mass (Kg),Flow Type,Year,Month,Include in HS2 aggregation
EU,European Union,Austria,0,EU - Exports,2025,November,INCLUDE
EU,European Union,Austria,633,EU - Imports,2025,November,INCLUDE
EU,European Union,Belgium,0,EU - Exports,2025,November,INCLUDE
EU,European Union,Belgium,0,EU - Imports,2025,November,INCLUDE
EU,European Union,Bulgaria,0,EU - Imports,2025,November,INCLUDE
EU,European Union,Cyprus,11,EU - Exports,2025,November,INCLUDE
EU,European Union,Cyprus,0,EU - Imports,2025,November,INCLUDE
EU,European Union,Czechia,988,EU - Exports,2025,November,INCLUDE
EU,European Union,Denmark,1,EU - Exports,2025,November,INCLUDE
EU,European Union,Estonia,13,EU - Exports,2025,November,INCLUDE
EU,European Union,Estonia,7,EU - Imports,2025,November,INCLUDE
EU,European Union,France,48,EU - Exports,2025,November,INCLUDE
EU,European Union,France,1037,EU - Imports,2025,November,INCLUDE
EU,European Union,Germany,208,EU - Exports,2025,November,INCLUDE
EU,European Union,Germany,2385,EU - Imports,2025,November,INCLUDE
EU,European Union,Ireland,18,EU - Exports,2025,November,INCLUDE
EU,European Union,Ireland,1,EU - Imports,2025,November,INCLUDE
EU,European Union,Italy,127,EU - Exports,2025,November,INCLUDE
EU,European Union,Italy,7,EU - Imports,2025,November,INCLUDE
EU,European Union,Luxembourg,0,EU - Exports,2025,November,INCLUDE
EU,European Union,Malta,2,EU - Exports,2025,November,INCLUDE
EU,European Union,Netherlands,6,EU - Exports,2025,November,INCLUDE
EU,European Union,Netherlands,1,EU - Imports,2025,November,INCLUDE
EU,European Union,Poland,0,EU - Exports,2025,November,INCLUDE
EU,European Union,Poland,5,EU - Imports,2025,November,INCLUDE
EU,European Union,Slovakia,0,EU - Imports,2025,November,INCLUDE
EU,European Union,Spain,16,EU - Exports,2025,November,INCLUDE
EU,European Union,Spain,1523,EU - Imports,2025,November,INCLUDE
EU,European Union,Sweden,0,EU - Exports,2025,November,INCLUDE
EU,European Union,Sweden,149,EU - Imports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Australia,28,Non EU - Exports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Australia,9478,Non EU - Imports,2025,November,INCLUDE
NON-EU,Asia and Oceania,China,10034,Non EU - Exports,2025,November,INCLUDE
NON-EU,Asia and Oceania,China,9,Non EU - Imports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,4653,Non EU - Exports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,1021,Non EU - Imports,2025,November,INCLUDE
NON-EU,Asia and Oceania,India,1,Non EU - Exports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Indonesia,1,Non EU - Exports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Japan,10,Non EU - Exports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Japan,2274,Non EU - Imports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Malaysia,1,Non EU - Exports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Singapore,31,Non EU - Exports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Singapore,0,Non EU - Imports,2025,November,INCLUDE
NON-EU,Asia and Oceania,South Korea,0,Non EU - Exports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Taiwan,0,Non EU - Exports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Thailand,4,Non EU - Exports,2025,November,INCLUDE
NON-EU,Asia and Oceania,Vietnam,0,Non EU - Exports,2025,November,INCLUDE
NON-EU,Eastern Europe exc EU,Azerbaijan,3949,Non EU - Exports,2025,November,INCLUDE
NON-EU,Eastern Europe exc EU,Kazakhstan,0,Non EU - Exports,2025,November,INCLUDE
NON-EU,Latin America and Caribbean,Brazil,739,Non EU - Imports,2025,November,INCLUDE
NON-EU,Latin America and Caribbean,Chile,0,Non EU - Exports,2025,November,INCLUDE
NON-EU,Latin America and Caribbean,Peru,6,Non EU - Imports,2025,November,INCLUDE
NON-EU,Middle East and N Africa,Qatar,109,Non EU - Exports,2025,November,INCLUDE
NON-EU,Middle East and N Africa,UAE,404,Non EU - Exports,2025,November,INCLUDE
NON-EU,Middle East and N Africa,UAE,52,Non EU - Imports,2025,November,INCLUDE
NON-EU,North America,Canada,21,Non EU - Exports,2025,November,INCLUDE
NON-EU,North America,Canada,31501,Non EU - Imports,2025,November,INCLUDE
NON-EU,North America,Greenland,0,Non EU - Exports,2025,November,INCLUDE
NON-EU,North America,Mexico,880,Non EU - Imports,2025,November,INCLUDE
NON-EU,North America,United States,17,Non EU - Exports,2025,November,INCLUDE
NON-EU,North America,United States,17774,Non EU - Imports,2025,November,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,6845,Non EU - Imports,2025,November,INCLUDE
NON-EU,Western Europe exc EU,Gibraltar,0,Non EU - Exports,2025,November,INCLUDE
NON-EU,Western Europe exc EU,Iceland,0,Non EU - Exports,2025,November,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,566,Non EU - Exports,2025,November,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,42636,Non EU - Imports,2025,November,INCLUDE
NON-EU,Western Europe exc EU,Turkey,38,Non EU - Exports,2025,November,INCLUDE
