EU / NON EU,Continent,Country,Net Mass (Kg),Flow Type,Year,Month,Include in HS2 aggregation
EU,European Union,Austria,0,EU - Exports,2026,January,INCLUDE
EU,European Union,Austria,1090,EU - Imports,2026,January,INCLUDE
EU,European Union,Belgium,4,EU - Imports,2026,January,INCLUDE
EU,European Union,Cyprus,3,EU - Exports,2026,January,INCLUDE
EU,European Union,Czechia,1,EU - Imports,2026,January,INCLUDE
EU,European Union,Denmark,2,EU - Exports,2026,January,INCLUDE
EU,European Union,Estonia,24,EU - Exports,2026,January,INCLUDE
EU,European Union,Estonia,12,EU - Imports,2026,January,INCLUDE
EU,European Union,Finland,0,EU - Exports,2026,January,INCLUDE
EU,European Union,France,58,EU - Exports,2026,January,INCLUDE
EU,European Union,France,5,EU - Imports,2026,January,INCLUDE
EU,European Union,Germany,1041,EU - Exports,2026,January,INCLUDE
EU,European Union,Germany,4850,EU - Imports,2026,January,INCLUDE
EU,European Union,Ireland,20,EU - Exports,2026,January,INCLUDE
EU,European Union,Ireland,5,EU - Imports,2026,January,INCLUDE
EU,European Union,Italy,225,EU - Exports,2026,January,INCLUDE
EU,European Union,Italy,5,EU - Imports,2026,January,INCLUDE
EU,European Union,Luxembourg,0,EU - Exports,2026,January,INCLUDE
EU,European Union,Malta,2,EU - Exports,2026,January,INCLUDE
EU,European Union,Netherlands,0,EU - Exports,2026,January,INCLUDE
EU,European Union,Netherlands,1,EU - Imports,2026,January,INCLUDE
EU,European Union,Poland,6,EU - Exports,2026,January,INCLUDE
EU,European Union,Poland,2,EU - Imports,2026,January,INCLUDE
EU,European Union,Spain,2382,EU - Imports,2026,January,INCLUDE
EU,European Union,Sweden,0,EU - Exports,2026,January,INCLUDE
EU,European Union,Sweden,62,EU - Imports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Australia,0,Non EU - Exports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Australia,7162,Non EU - Imports,2026,January,INCLUDE
NON-EU,Asia and Oceania,China,9978,Non EU - Exports,2026,January,INCLUDE
NON-EU,Asia and Oceania,China,10,Non EU - Imports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,6,Non EU - Exports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Hong Kong,1063,Non EU - Imports,2026,January,INCLUDE
NON-EU,Asia and Oceania,India,9,Non EU - Exports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Indonesia,2,Non EU - Exports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Japan,0,Non EU - Exports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Japan,1476,Non EU - Imports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Malaysia,0,Non EU - Exports,2026,January,INCLUDE
NON-EU,Asia and Oceania,New Zealand,0,Non EU - Exports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Singapore,24,Non EU - Exports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Singapore,1002,Non EU - Imports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Taiwan,5,Non EU - Exports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Taiwan,293,Non EU - Imports,2026,January,INCLUDE
NON-EU,Asia and Oceania,Thailand,0,Non EU - Exports,2026,January,INCLUDE
NON-EU,Eastern Europe exc EU,Uzbekistan,0,Non EU - Exports,2026,January,INCLUDE
NON-EU,Latin America and Caribbean,Brazil,770,Non EU - Imports,2026,January,INCLUDE
NON-EU,Middle East and N Africa,UAE,381,Non EU - Exports,2026,January,INCLUDE
NON-EU,Middle East and N Africa,UAE,54,Non EU - Imports,2026,January,INCLUDE
NON-EU,North America,Canada,0,Non EU - Exports,2026,January,INCLUDE
NON-EU,North America,Canada,23495,Non EU - Imports,2026,January,INCLUDE
NON-EU,North America,Mexico,1089,Non EU - Imports,2026,January,INCLUDE
NON-EU,North America,United States,18,Non EU - Exports,2026,January,INCLUDE
NON-EU,North America,United States,21162,Non EU - Imports,2026,January,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,0,Non EU - Exports,2026,January,INCLUDE
NON-EU,Sub-Saharan Africa,South Africa,5343,Non EU - Imports,2026,January,INCLUDE
NON-EU,Western Europe exc EU,Iceland,0,Non EU - Exports,2026,January,INCLUDE
NON-EU,Western Europe exc EU,Liechtenstein,1,Non EU - Imports,2026,January,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,3872,Non EU - Exports,2026,January,INCLUDE
NON-EU,Western Europe exc EU,Switzerland,50637,Non EU - Imports,2026,January,INCLUDE
NON-EU,Western Europe exc EU,Turkey,38,Non EU - Exports,2026,January,INCLUDE
